,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용,긍정부정,긍정부정 확률
0,"Apple 2022 맥북 에어, 실버, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",이*현,5.0,아이패드 짝꿍,"당근에서 미개봉 구하다가 실버 색상은 없어서 쿠팡에서 구매했습니다와우 회원 쿠폰 쓰고 카드 할인은 없어서 쿠페이 결제시 1만원 쿠페이 캐시백 해서 139정도에 구매 했네요인터넷 서핑, 블로그 등 간단한 타이핑 활동, 메신저 이용, 할 일 관리 등정말정말 개인 노트북으로 구매한 거여서 본 성능에 비하면 저에게 아주 과분한 친구이고!첫 맥북이라 아직 어색하기도 하고 버벅거리는 부분도 있지만,일단 너무 이쁘고 아이폰, 아이패드와의 연동성 두 가지 만으로도 만족합니다키감도 좋고 무거운 프로그램 돌리는 게 아니라서 그런지 발열도 아직까지 못 느껴봤고팬리스여서 소음도 정말 없습니다맥도 잘 모르면서 뭐하러 맥북 사냐 그냥 윈도우 노트북 사라는 의견도 존중은 하지만정말 이 가격에 이 정도 노트북은 윈도우에도 없더라구요 ㅠ(그램.. 가볍고 좋은 만큼 비싸,,,,ㅎㅎ)어쨋든 깡통이 성능 저하 이슈도 있지만 그래도 저같은 라이트 유저에겐 충분히 좋은 노트북!아이패드+에어팟프로 있으시면 더더욱 추천드립니다~!",1,0.8947938680648804
1,"Apple 2022 맥북 에어, 미드나이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",한*기,4.0,맥북병은 맥북을 사야 낫죠. 완치했습니다.,"- 구매 계기20대부터 맥북을 써봐야지 했는데 매 번 윈도우 노트북을 사용하다 보니 랩탑 두 대는 사치 같더라고요. 그런데 2022 맥북은 디자인에 반해서 홀린 듯 구매했습니다. 사전예약을 놓쳐서 영문 키보드로 구매하고 싶었는데 그건 품절이길래 한글 자판으로 구매했어요. 결론은 그냥 예뻐서 샀습니다. 7월 말에 구매했는데 8월 23일에 도착한다고 해놓고 갑자기 8월 4일로 당겨진 배송 날짜에 신이 났어요.- m1 16과의 고민전작의 램 업그레이드와 신제품 깡통의 가격이 거의 비슷하거나 할인율, 쿠폰 잘 먹이면 m1 16이 더 저렴하기도 하더라고요. 기존 맥북의 디자인도 예쁘다고 생각했기 때문에 고민을 정말 정말 정-말 많이 했지만 이왕 사는 거 더 끌리는 디자인으로 선택했습니다. 한 번 사면 오래 살텐데 후회하기 싫었어요. 그리고 생각해보면 제가 코딩을 하는 것도 아니고 영상 편집을 하는 것도 아니라서 깡통으로 충분하다고 생각했습니다. 에어는 깡통이 진리라는 영상도 왕왕 봤구요. (그냥 맥북으로 카카오톡 하고 싶은 인간)- 개봉맥북은 첫 구매인데 아이패드나 아이폰과는 또 다른 느낌^^; 이었습니다. 박스에 절개선 뜯으면 나오는 본박스가 인상깊었고요. 순서대로 본체와 맥세이프 충전 케이블, 충전기까지 다 나왔어요. 스티커도 미드나이트 색인 것 확인하고 다시 집어넣었습니다. 집 어딘가에 굴러다니는 애플 관짝이 정말 많아져서 스티커도 진짜 많긴 한데 쓰질 않네요. 아름답습니다.- 사용하면서아직 적응 중입니다만, 카카오톡 실행이 초반에 굉장히 느린 것은 생각 외였어요. 가벼운 인터넷 서핑이나 노래 재생 등은 아무 무리가 없지만 유독 카카오톡만 실행이 느리더군요. 그리고 맥북 자판이 처음이긴 한데 이번에 나비식으로 바뀌었다고 들었거든요. 가지고 있는 18년식 그램과 거의 흡사한 느낌의 키보드는 아주 약간 실망이었습니다. 쫀득한 맛이 없어요. 레노버 같은 느낌일 줄 알았는데.그거 말고는 좋습니다만 역시 다한증이 있는 제 손 때문에 미드나이트 m2 에어가 고생 깨나 할 것 같네요 ㅎㅎ 어차피 이왕 손에 들어온 거 제 물건이라 전투용으로 막 쓸 생각입니당. 그 외 다 좋아요! 적응 되면 맥으로 개발 공부도 좀 해보고 싶네요. 언젠가는.- 총평원래 물건을 주문하고 오기까지가 기대감 최고조인 것 아시죠ㅎㅎ 정작 받으니 아이패드처럼 감흥이 조금 식지만 그래도 너무 좋습니다. 괜히 업무 중에도 맥북 켜서 한번씩 만져보고 웹서핑도 하고 그래요. 맘에 들면 사세요. 깡통도 나쁘지 않아요. 특히 저처럼 맥북이 아예 처음이시라면 구매를 더욱 추천합니다.",1,0.9447542428970337
2,"Apple 2022 맥북 에어, 미드나이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",강*중,5.0,와씨... 완전 개 이쁨...,"8월 5일 배송예정이었는데, 8월1일 배송받았어요! 압도적감사!!!미드나이트 컬러로 구매했는데 너무 예쁘네요.마치 밤하늘색처럼, 블랙컬러에 은은한 블루컬러가 스며든것 같은 느낌입니다.프로버전은 디자인이 좀 투박했던것에 비해,m2에어는 비교적 얇아서인지 전혀 투박해 보이지 않고 날렵함과 모던함이 강조되서 더욱 고급스럽게 다가옵니다.m1에어 디자인도 좋았는데, 개인적으로는 컬러와 디자인 모두 m2에어가 더 이쁜거 같아요.구매전에 m2에어관련 발열,속도 이슈를 접하긴 했는데,사실 테스트환경이 저랑은 전혀 무관해 보여서 그냥 구매하기로 결정했어요.그 정도로 에어를 혹사시킬 사용자라면, 애초에 프로버전을 고려하는게 맞다고 봐요.사실 그보다는 m1과의 가격차이때문에 구매를 고민하실 분들이 더 많을거 같아요.저도 그랬거든요ㅋㅋㅋ;;;  역대 에어라인의 가격대를 생각해보면 이번 m2에어의 가격이 딱히 비싼것도 아니지만...바로 이전 버전인 m1에어의 가격과 가성비때문에 '상대적'으로 좀 비싸게 느껴지긴 하더라구여ㅠㅠ그래도 여러분!애플은 애플입니다!저도 배송 받기전까지는 쬐에끔 긴가민가했거든요?그런데 실물 영접하고 나서는 구매하길 너무너무 잘 했다는 생각뿐이에요.고민하시는 분들께 진짜진짜 추천드립니다!",1,0.957827627658844
3,"Apple 2022 맥북 에어, 미드나이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",김*현,5.0,등록된 헤드라인이 없습니다,"M1 제품이 너무 저렴하게 잘 나왔다보니 상대적으로 평가가 애매한 M2 제품입니다. 비싸지만 디자인, 색상이 마음에 들어서 M2를 구매했어요. 신제품인 것도 한 몫하지만요ㅎㅎ 애플 제품이라 언박싱은 언제나 그렇듯 기분 좋고 설레네요:)구매 후에는 웹 개발, 코딩 공부 및 사무작업용으로 사용하고 있습니다. 기본형으로 사용하고 있음에도 작업에 영향을 준다고는 느껴지지 않고 쾌적하게 잘 이용하고 있습니다. 이 제품이 제 첫 맥북인데 잠자기 메뉴라던가 자동으로 파일을 모으고 정리하는 시스템이 마음에 드네요. 윈도우 사용하다 맥을 사용하니 적응이 안되는건 어쩔 수 없지만 일주일 정도만 매일 사용하시면 무리없이 적응 가능하실거예요~사용 후에 아쉬운 점은 아이패드를 함께 사용하면서 블루투스 미러링을 이용하고 있는데, 연결이 불안정해서 1시간 정도 사용하면 미러링이 자꾸 끊기거나 먹통이 되네요. 소프트웨어 업데이트 문제일 수도 있지만 사용에는 좀 불편했습니다ㅠ 제가 윈도우 노트북을 사용하면서 유료 앱을 사용했었는데 오히려 그 유료 앱이 끊김없이 원활하게 사용 가능했던 것 같네요.종합적으로는 만족스러운 사용기였습니다:)",1,0.8157179951667786
4,"Apple 2022 맥북 에어, 스페이스그레이, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",김*린,5.0,고민말고 GO!! 완전만족~~ 역시 애플,"얼마전 애플 스토어에 방문했다가 넘 이뻐서 고민고민 끝에 구입했어요ㅎㅎ 윈도우만 써봐서 맥에 적응 할수 있을까 걱정 많이했는데써본결과, 생각보다 좋고 성능도 안떨어지고 무엇보다 넘 이쁘고윈도우 안써도 안불편하더라구요 !! 제가 개발자인데, 개발 프로그램들도 잘 다운받아지고 개발할 맛 납니다~~ 남친거는 프로인데 확실히 프로가 빠르긴 해요~~ 근데 넘 무겁 ㅜㅜ에어가 가볍고 여자가 쓰기에 딱인거같아용 ㅎㅎㅎ색상고민도 많이했는데 스그 사길 잘한것같아요 사실 어떤 색상이여도 만족했을거같기는 해요 ㅎㅎㅎ 고민하시는 분들 애플스토어가서 봐보세영 넘 이쁨",1,0.9847012758255005
5,"Apple 2022 맥북 에어, 미드나이트, M2 8코어, GPU 10코어, 512GB, 8GB, 35W 듀얼, 한글",hwanguc7,5.0,드디어 최신 맥북 사용!!! M2 고급형 미드나이트!,"이전까지 윈도우 데스크탑과 2012년형 맥북프로를 사용하고 있었는데, 제한 되는게 많고, 번거롭다보니 깊은 고민끝에 M2맥북에어를 구매하게 되었습니다! 일단은 새로운 디자인과 색상이 가장 맘에 들었고 가성비의 M1맥북에어와 고민하다가 그래도 이왕 사는거 최신을 쓰자는 생각으로 구매했습니다! 전문적인 영상편집은 아니지만 영상편집 할 일들이 있어 용량과 그래픽에 장점이 있는 고급형으로 구매했구요!!엄청 고민하고, 싸게 살 수 있는 날을 기다렸는데, 저는 카드사 할인 8프로 + 쿠폰으로 약 10프로 정도 저렴하게 구매한것 같네요~! 할부한 만큼 아껴서 잘 쓰도록 하겠습니다!! ㅎㅎ 구매하실 분들에게 조금이나마 도움이 되길 바랍니다!",1,0.9667124152183533
6,"Apple 2022 맥북 에어, 실버, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",신*은,5.0,등록된 헤드라인이 없습니다,"맥북프로랑 고민하다가무게, 기존 폼팩터라서 에어M2로 구매했습니다! 사실 신형 맥북 프로가 가격이 더 저렴해서 진짜 여러번 고민했는데 ㅠㅠ 베젤에서 오는 답답함도 견딜 수가 없겠더라구요 저는 간단한 포토, 일러, 문서작업용이라 에어로도 충분하겠다 싶었습니다다만 가끔 무거운 작업물 돌릴 때는 쿨러가 없는 제품이라 작업속도가 좀 느려지는 건 어쩔 수 없나봐요………제 생각보다 꽤 느렸습니다( 이런 점들을 고민하셔서 아예 M1프로 추천해주시는 분들도 많더라구요 )그 외에는 다 만족합니다 무게도 딱 적당하구요, 화면도 넓구요!다른 애플 제품들은 케어 안 들었는데 맥북만큼은 가입했습니다 ㅎㅎㅎ고민하시는 분들은 조금이라도 세일할 때 지르세요!",1,0.9787996411323547
7,"Apple 2022 맥북 에어, 스타라이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",김*호,5.0,최고의 선택이에요!,"애플 제품 쓰시는 분들은 최고의 선택이네요.M2칩에 대한 혹평을 많이 보기는 했는데 기존에 사용하던 윈도우 노트북하고 비교하면비교불가 성능이네요.색상은 스타라이트인데 아이폰의 그것과는 또다른고급스러움이 있어요. 아이폰 스타라이트보다 좀 더골드베이지에 가까워서 아이폰에도 이런 색깔 있음 좋겠다고 생각했네요.애플의 장점은 무엇보다 연결성이죠. 아이폰, 패드와의 연동이 가장 강력한 장점이라 생각합니다.영상 시청을 꽤 많이 하는데 화질에 대한 만족감이 가장 높습니다.전문 개발자나 영상편집자가 아닌 저같은 일반 사용자는맥북 에어로도 엄청 충분한 만족감을 느끼실거라 확신합니다.",1,0.8199465274810791
8,"Apple 2022 맥북 에어, 미드나이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",유동균,5.0,작업하실 분들은 강추해요!,애플에서 새로운 맥북을 발표했죠 고민을 하다가 쿠팡에서 사전예약이 열려서 구매했어요8월2일 도착 예정이였는데 7월26일에 깜짝선물로 도착했네요 색감저는 미드나이트로 구매했어요 이번에 새로 나온 컬러이기도 하고 유튜브에서 다들 이쁘다고 해서 결정했어요받아보니 정말 이쁘더라고요 색상과 키보드 조합이 잘 맞아요 다만 지문이 정말 잘 묻어서 자주 닦아줘야 해요디자인이번에 완전히 새롭게 바꼈죠 갈수록 얇아지는 디자인에서 맥북 프로와 비슷하게 플랫한 디자인으로 변경됐어요저는 개인적으로 새로운 디자인이 더 마음에 드네요 화면 디자인이 바뀌면서 화면 배젤도 얇아졌어요 다만 노치가 생겨버렸네요 맥북os 특성상 윗 부분은 정보창으로 많이 이용해서 거의 거슬리지 않았어요 밝기도 500니트로 전작보다 100니트 밝아져서 사용할때 더 편리했어요포트전작 맥북 에어는 c타입 포트 2개와 헤드폰 잭이 달려 있었는데 이번에는 맥세이프 단자가 생기면서 충전하면서도 추가로 2개의 c타입 포트를 사용할수 있어요 맥세이프 자력은 생각보다 강해서 사용중 떨어지는 일은 없을거 같아요스피커맥북 스피커는 말 할게 없죠 막귀인 저도 듣자마자 대박이라고 생각했어요 베이스 좋고 소리를 최대로 올려도찢어지는 느낌이 없어요키보드 가위식 키보드에요 전작보다 약간씩 키캡이 커졌고 덕분에 지문인식 버튼도 커져서 인식률이 크게 올라갔어요키감은 노트북 키보드 치고는 매우 훌룡했어요 소리는 조금 나는 편이라 독서실 같은 곳에서는 사용하기 힘들거 같아요성능 이번에 칩셋이 m2로 바꼈어요 웹서핑 하시는 분들은 거의 체감하기 힘들거 같고 영상편집이나 음악 등 하시는 분들은 체감 할수 있을거 같네요 맥북으로 게임은 추천하지 않아요 게임은 윈도우 쪽으로 가는걸 추천해요정리 가격이 40만원이나 올랐지만 그래도 만족할수 있는 노트북이에요 애플답게 디자인이나 마감도 훌룡하고사용하는데 너무나 편했어요 게임 말고 작업 하실분들은 구매하는걸 추천해요이번 상품평은 여기까지에요 구매에 도움이 되셨으면 도움이 돼요 버튼 한번씩만 눌러주세요!,1,0.932230532169342
9,"Apple 2022 맥북 에어, 스페이스그레이, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글",김*호,5.0,환골탈태한 풀체인지 m2에어!,"강점1. 굉장히 빠른 부팅속도(전원 버튼 누른 후 15초 이내 부팅완료)2. 폼팩터의 변경(쐐기형->플랫형)/ 이로 인해 제품의 파손 위험 감소될 것으로 보임3. 맥세이프 단자! C타입이 2개뿐이라, 맥세이프는 매우 유용하며, 전원선도 매우 길고, 이동 중 실수로 전원선에 걸리더라도, 전원선만 노트북에서 분리될 뿐 노트북이 함께 딸려가는 불상사는 없을 듯 함4. 카메라 해상도도 향상됨 720p ->1080p 5. 스크린 화면도 약간 커짐단점1. 맥북 사용 초반이라 저장 용량을 많이 사용하진 않았지만, 향후 1슬롯의 256gb는 문제가 될 여지가 있음2. 기존 모델대비 환골탈태한 수준이나, 그만큼 가격도 매우 상승하였음3. 조금은 걱정되는 배송 당시의 포장상태-> 박스안에 맥북 박스만 들어있는데, 충전재라도 좀 넣어주면 매우 좋을 것 같음",1,0.714413046836853
